,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
497,1.8553092,48.9596298997023,Missing,78029,Aubergenville,library,Dépôt à livres,POINT (1.8553092 48.9596298997023),[5952 5953 6078 6079 6204]
498,2.4217543,48.7248687997606,Missing,94001,Ablon-sur-Seine,library,Dépôt à livres,POINT (2.4217543 48.7248687997606),[13916 13917 14042 14043 14168 14169]
499,2.5071596,48.6998740997668,Missing,91114,Brunoy,library,Dépôt à livres,POINT (2.5071596 48.6998740997668),[15053 15179 15180 15305 15306]
500,2.447092,48.7289230997595,Missing,94078,Villeneuve-Saint-Georges,library,Dépôt à livres,POINT (2.447092 48.7289230997595),[14294 14420 14546]
501,2.4475047,48.7304763997592,Missing,94078,Villeneuve-Saint-Georges,library,Dépôt à livres,POINT (2.4475047 48.7304763997592),[14293 14294 14419 14420 14546]
502,2.3556751,48.8513210997292,Bibliothèque Polonaise,75056,Paris,library,Bibliothèque,POINT (2.3556751 48.8513210997292),[13020 13021 13146 13147]
503,2.3275469,48.84799179973,Bibliothèque André Malraux,75056,Paris,library,Bibliothèque,POINT (2.3275469 48.84799179973),[12517 12642 12643 12768 12769]
504,2.1783702,48.9108662997144,Missing,78124,Carrières-sur-Seine,library,Dépôt à livres,POINT (2.1783702 48.9108662997144),[10493 10494 10619 10620 10746]
505,2.3600477,48.7718223997489,Médiathèque Boris Vian,94021,Chevilly-Larue,library,Médiathèque,POINT (2.3600477 48.7718223997489),[13029 13030 13155 13156 13281]
506,2.1720877,48.5640466998004,Médiathèque,91105,Breuillet,library,Médiathèque,POINT (2.1720877 48.5640466998004),[10406 10407 10532 10533 10658 10659]
507,2.5319522,48.839843599732,Médiathèque Jules Verne,94015,Bry-sur-Marne,library,Médiathèque,POINT (2.5319522 48.839843599732),[15415 15416 15541 15542 15667 15668]
508,2.1439072,48.8528571997288,Missing,78126,La Celle-Saint-Cloud,library,Dépôt à livres,POINT (2.1439072 48.8528571997288),[ 9996  9997 10122 10123 10248]
509,2.5986779,48.912718299714,Boîte à livres,77139,Courtry,library,Dépôt à livres,POINT (2.5986779 48.912718299714),[16415 16416 16541 16542]
510,2.278495,48.8273905997351,Missing,92040,Issy-les-Moulineaux,library,Dépôt à livres,POINT (2.278495 48.8273905997351),[11889 12015 12016 12141]
511,2.5903164,48.6287056997844,Missing,77296,Moissy-Cramayel,library,Bibliothèque,POINT (2.5903164 48.6287056997844),[16321 16322 16447 16448 16573]
512,2.6011018,48.7824337997463,Missing,77373,Pontault-Combault,library,Dépôt à livres,POINT (2.6011018 48.7824337997463),[16430 16556 16557 16682]
