,X,Y,ATM/Agence,com_insee,com_nom,Type,Type_détaillé,geometry,0
3701,1.9717971,48.9813162996969,bank,78642,Verneuil-sur-Seine,banque,Caisse d'Epargne,POINT (1.9717971 48.9813162996969),[7588 7713 7714 7840]
3702,1.8083936,48.7778393997474,bank,78420,Montfort-l'Amaury,banque,Caisse d'Epargne,POINT (1.8083936 48.7778393997474),[5342 5343 5468 5469]
3703,1.7133924,48.9762620996982,bank,78362,Mantes-la-Ville,banque,Caisse d'Epargne,POINT (1.7133924 48.9762620996982),[3934 3935 4060 4061 4186 4187]
3704,1.8945683,48.7183906997622,bank,78220,Les Essarts-le-Roi,banque,Caisse d'Epargne,POINT (1.8945683 48.7183906997622),[6483 6609 6610 6735 6736]
3705,2.1173036,49.005461599691,bank,78172,Conflans-Sainte-Honorine,banque,Caisse d'Epargne,POINT (2.1173036 49.005461599691),[9601 9602 9727 9728 9853]
3706,2.1440426,48.9451971997059,bank,78358,Maisons-Laffitte,banque,Caisse d'Epargne,POINT (2.1440426 48.9451971997059),[ 9986 10111 10112 10238]
3707,1.9722665,48.8719308997241,bank,78233,Feucherolles,banque,Caisse d'Epargne,POINT (1.9722665 48.8719308997241),[7600 7726 7727 7852]
3708,1.6004956,48.7897161997445,bank,78310,Houdan,banque,Caisse d'Epargne,POINT (1.6004956 48.7897161997445),[2317 2443 2444 2569 2570]
3709,2.0676962,48.8421086997315,bank,78455,Noisy-le-Roi,banque,Caisse d'Epargne,POINT (2.0676962 48.8421086997315),[8989 8990 9115 9116]
3710,1.7065468,48.9864826996957,bank,78362,Mantes-la-Ville,banque,Caisse d'Epargne,POINT (1.7065468 48.9864826996957),[3807 3933 3934 4059 4060]
3711,2.0459314,48.811998399739,bank,78242,Fontenay-le-Fleury,banque,Caisse d'Epargne,POINT (2.0459314 48.811998399739),[8615 8740 8741 8867]
3712,1.9856434,48.9778958996978,bank,78643,Vernouillet,banque,Caisse d'Epargne,POINT (1.9856434 48.9778958996978),[7714 7840 7841 7966 7967]
3713,1.9104416,48.993203899694,bank,78440,Les Mureaux,banque,Caisse d'Epargne,POINT (1.9104416 48.993203899694),[6704 6705 6830 6831 6956 6957]
3714,2.0500843,48.9256697997108,bank,78498,Poissy,banque,,POINT (2.0500843 48.9256697997108),[8602 8728 8729 8854 8855]
3715,2.1833643,48.6831163997709,atm,91471,Orsay,banque,Société Générale,POINT (2.1833643 48.6831163997709),[10519 10645 10646 10771 10772]
3716,2.6612496,48.5218768998108,atm,77389,La Rochette,banque,,POINT (2.6612496 48.5218768998108),[17215 17341 17342 17467 17468]
3717,2.4436268,48.8091644997397,bank,94046,Maisons-Alfort,banque,BRED/Banque populaire,POINT (2.4436268 48.8091644997397),[14159 14285 14286 14411]
3718,2.4400651,48.8060340997404,bank,94046,Maisons-Alfort,banque,LCL,POINT (2.4400651 48.8060340997404),[14159 14160 14285 14286 14411 14412]
3719,2.4433818,48.8096093997395,bank,94046,Maisons-Alfort,banque,HSBC,POINT (2.4433818 48.8096093997395),[14159 14285 14286 14411]
